---,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.2,Analog In. | Ch.2,Analog In. | Ch.2,Analog Out. | Ch.1,Analog Out. | Ch.2,
Time(s),AIn-1 - Dem (AOut-1),AIn-1 - Dem (AOut-2),AIn-1 - Raw,AIn-2 - Dem (AOut-1),AIn-2 - Dem (AOut-2),AIn-2 - Raw,AOut-1,AOut-2,
0.865391,3.7030785,2.86914714,-3.59981079,0.0179093484,0.0152773003,-0.0108340709,1,1,
0.873594,3.70060657,2.86625481,2.37838374,0.0182886917,0.0155950795,0.0180822169,1,1,
0.881797,3.69922494,2.86401544,3.49543748,0.0186394783,0.0158287427,0.0273903623,1,1,
0.89,3.6984342,2.86258275,-3.55204932,0.0186840977,0.0157904323,0.00930814539,1,1,
0.898203,3.69821359,2.86183215,-1.11774041,0.0183512147,0.0154037368,0.00999481185,1,1,
0.906406,3.69846559,2.86129199,3.74973296,0.0178727039,0.0147887996,0.0393688772,1,1,
0.91461,3.6981038,2.86021771,-0.844294565,0.0175925929,0.0142150089,0.0312814722,1,1,
0.922813,3.69684717,2.85847813,-2.79053621,0.0176466878,0.0138502706,0.0154118473,1,1,
0.931016,3.69390282,2.8561771,1.94845424,0.0178782248,0.0136371233,0.0143436995,1,1,
0.939219,3.69083223,2.85405119,1.09256264,0.0180350494,0.0134145016,0.00984221931,1,1,
0.947422,3.68809622,2.85252287,-1.72833949,0.0179886148,0.0131710977,0.0185399945,1,1,
0.955625,3.68626808,2.85194192,-0.331812494,0.0177319688,0.0131186311,0.0160222175,1,1,
0.963828,3.68435231,2.85198437,1.19266335,0.0173481117,0.0133945538,0.0305185095,1,1,
0.972032,3.68124747,2.85173504,0.153050325,0.0170332691,0.0138414131,0.0124362926,1,1,
0.980235,3.67720735,2.8504222,-0.987655263,0.0169677322,0.0141872023,0.0328073977,1,1,
0.988438,3.67255696,2.84779347,-0.403836177,0.0171248874,0.0142942867,0.00617999817,1,1,
0.996641,3.66933465,2.84438908,1.07806635,0.0173394216,0.0142346238,0.0223548082,1,1,
1.004844,3.66737417,2.84090317,0.50019837,0.01747744,0.0141825678,0.0100711081,1,1,
1.013047,3.66630313,2.83811458,-1.90557573,0.0175320778,0.0142022162,0.0134281442,1,1,
1.02125,3.66431373,2.83604543,0.0388348033,0.0175489046,0.0142515737,0.0112918485,1,1,
1.029454,3.66110406,2.83447531,2.66930143,0.0175697623,0.0143608062,0.0344859157,1,1,
1.037657,3.65766877,2.83293162,-1.74344615,0.017619231,0.0146026589,0.0164036988,1,1,
1.04586,3.65447697,2.83110777,-2.32413709,0.0176465617,0.0149464887,0.0177770318,1,1,
1.054063,3.6521951,2.82903569,3.29149754,0.0175436293,0.0152155956,0.0270851772,1,1,
1.062266,3.64982308,2.82669081,0.920514542,0.0172727223,0.0152261524,0.0218207343,1,1,
1.070469,3.64745841,2.82435248,-3.5769219,0.0169898187,0.0149708637,-0.0131992553,1,1,
1.078673,3.64453074,2.82193216,1.53790399,0.016959589,0.0146716133,0.0367748039,1,1,
1.086876,3.64203919,2.82017282,4.22490616,0.0173068477,0.0145464358,0.0308999908,1,1,
1.095079,3.64109193,2.82012677,-3.56524857,0.0178979781,0.0145825279,0.00129703665,1,1,
1.103282,3.64206569,2.82224739,-2.11012604,0.0184321482,0.0146480598,0.00915555284,1,1,
1.111485,3.644382,2.82551354,6.01733451,0.018599294,0.0146388145,0.0553147984,1,1,
1.119688,3.64631655,2.82775673,-1.24561296,0.0182401637,0.0145809614,0.0120548112,1,1,
1.127891,3.64727086,2.82724647,-3.60202338,0.0175002111,0.01457918,-0.0123599963,1,1,
1.136094,3.64591847,2.82307855,4.63812677,0.0167780441,0.0145807616,0.0396740623,1,1,
1.144298,3.64269007,2.81620426,3.44752342,0.0164418243,0.0143785165,0.0372325816,1,1,
1.152501,3.63832247,2.80877099,-3.61491745,0.0166233462,0.0140271327,-0.0257118442,1,1,
1.160704,3.63415791,2.80315151,0.541627247,0.0171768258,0.0139046429,0.0314340648,1,1,
1.168907,3.63102345,2.80012458,6.84980316,0.0177909837,0.0142263116,0.0413525803,1,1,
